text,SVM_TFIDF,annotation,sentiment,ENSEMBLE_TFIDF,ENSEMBLE_W2V,SVM_W2V,KNN_TFIDF,KNN_W2V,NV_TFIDF,NV_W2V,RF_TFIDF,RF_W2V
my experience and what other researchers goes through when reporting a recently discovered vulnerability ,1,0,0.45618233,0,0,0,0,1,0,0,1,1
destroying scammers computer with  ransomware   ,1,0,0.12959002,1,1,1,1,1,1,1,1,1
yoyo whos that should i so hard i   m a new fan just because he cannot do u that play fort hit for free ddos attacks to work i just enabled,0,0,0.36097318,0,0,0,0,0,0,0,0,0
 ddos   not a guardian,1,0,0.66926694,1,0,0,1,1,1,0,1,1
new additions to our analytics tools give you in depth visibility into network usage during peacetime and when under a ddos attack   pretty neat  learn more    ddos  analytics  cybersecurity,1,0,0.15707538,1,1,1,1,1,1,1,1,1
you know  if your software has a vulnerability serious enough to assign a cve you might want to have a way for customers bigger than a dozen people to deploy it ,0,0,0.17294706,0,0,0,0,0,0,0,0,0
on ps4   allupinya1979 richnogiquan insapon12 wayupinya    are so bad at the game they have to ddos to win in comp    just happened to us twice in a row ,0,1,0.99221474,0,0,0,0,0,0,0,0,0
 the only way to prove a vulnerability is to give the source code  assuming it is an open source  amp  issue a bounty see what happens then draw logical conclusions     ,0,1,0.3587584,0,0,0,0,1,0,0,0,0
i   m a 2gbps ddos attacks to the world for the 9th or narr,0,0,0.090804264,0,0,0,0,0,0,0,0,0
temporary patch available for recent  windows task scheduler  alpc zero day  via   0day  itsecurity,0,1,0.56360173,0,1,1,0,1,1,1,0,1
we survived a ddos attack that peaked at 250k requests per second  it cost us  10   infosec  hacking  hackers  pentesting  pentest  programming  opensource  cybersecurity  ddos  cyberattack,0,1,0.77155143,1,1,0,0,1,0,0,0,1
active attacks detected using apache struts vulnerability cve 2018 11776   apachestruts,0,1,0.29251543,0,0,0,0,0,0,0,0,0
how to improve website resilience for ddos attacks     part ii     caching  via   wordpress  security,0,0,0.5512258,0,0,0,0,0,0,0,0,0
how to improve website resilience for ddos attacks     part ii     caching  via   wordpress  websecurity,0,0,0.38436347,0,0,0,0,0,0,0,0,0
nasa openvsp 3 16 1 denial of service  nasa openvsp version 3 16 1 suffers from a denial of service vulnerability  ,0,1,0.8942935,0,0,0,1,1,0,0,0,0
immunity debugger 1 85 denial of service  immunity debugger version 1 85 suffers from a denial of service    ,0,1,0.932943,0,0,0,0,0,0,0,0,0
ippulse 1 92 tcp port denial of service  ippulse version 1 92 suffers from a denial of service vulnerability  ,0,1,0.927807,0,0,0,0,0,0,0,0,0
immunity debugger 1 85 denial of service ,0,1,0.8526964,0,0,0,0,0,0,0,0,0
kevin and i came up with a solution for sql injection today but may need a little help making it a reality  let us know if you would like to contribute   ,1,0,0.18616721,0,1,1,0,1,0,0,0,1
hakin9  we survived a ddos attack that peaked at 250k requests per second  it cost us  10   infosec  hacking  hackers  pentesting  pentest  programming  opensource  cybersecurity  ddos  cyberattack,0,1,0.77155143,0,0,0,0,0,0,0,0,0
fathom 2 4 denial of service ,0,1,0.8556586,0,0,0,0,0,0,0,0,0
skype empresarial office 365 16 0 10730 20053 denial of service ,0,1,0.8341801,1,0,0,0,0,0,0,0,0
 immunity debugger 1 85 denial of service    security,0,1,0.8814445,0,0,0,0,0,0,0,0,0
 fathom 2 4 denial of service    security,0,1,0.8864983,0,0,0,0,0,0,0,0,0
 skype empresarial office 365 16 0 10730 20053 denial of service    security,0,1,0.866521,0,0,0,0,0,0,0,0,0
hacker discloses unpatched windows zero day vulnerability  with poc  ,0,1,0.24944049,0,0,0,0,0,0,0,0,0
 it   s the vulnerability that   s scary  no matter how    secure    you think any one place is  if they   re on a mission to kill  amp  destroy  they will find a way  this bull with these 3d printed guns is an invitation into so many venues  scary stuff  scary times ,0,0,0.6996262,0,0,1,0,0,1,1,0,0
download this how to guide on preparing for and detecting ransomware before it is too late   ,0,0,0.9169003,0,0,0,0,0,0,0,0,0
new post  cisco anyconnect secure mobility client 4 6 01099 denial of service  has been published on    ,0,1,0.76852417,0,0,0,0,0,0,0,0,0
amazing content from  and    big love to men sharing openly moments of vulnerability  abuse  addiction  violence and emotion  what fantastic examples you both are    nontoxicmasculinity  manlymen  takenotes,0,0,0.028625084,0,0,0,0,0,0,0,0,0
nasa openvsp 3 16 1 denial of service  nasa openvsp version 3 16 1 suffers from a denial of service vulnerability  ,0,1,0.8942935,0,0,0,0,0,0,1,0,0
immunity debugger 1 85 denial of service  immunity debugger version 1 85 suffers from a denial of service vulnerability  ,0,1,0.91394055,0,0,0,0,0,0,0,0,0
ippulse 1 92 tcp port denial of service  ippulse version 1 92 suffers from a denial of service vulnerability  ,1,1,0.927807,1,1,0,1,1,1,0,1,1
skype empresarial office 365 16 0 10730 20053 denial of service  skype empresarial office 365 version 16 0 10730 20053 suffers from a denial of service vulnerability  ,1,1,0.8928776,1,1,1,1,1,1,1,1,1
episerver 7 patch 4 xml injection  episerver version 7 patch 4 suffers from an xml external entity injection vulnerability  ,1,1,0.7606402,0,1,0,1,0,1,1,0,0
my colleague  working on masters in cyber security  thinks that you should pay the ransom should you be hit with ransomware    i said that is a terrible idea because in a majority of circumstances you will not get the private key and it gives incentive to bad actors to continue ,1,0,0.8325793,1,1,1,1,0,0,1,1,1
never become too available for a person  it   s a vulnerability  you lose your importance,0,0,0.48900405,0,0,0,0,0,0,0,0,0
courage comes out of great vulnerability,0,0,0.68472123,0,0,0,0,0,0,0,0,0
 ransomware is just one of many hurdles  phishing attacks that compromise sensitive information from employees  as well as patients  can be similarly harmful to an enterprise      ,0,0,0.4000885,0,0,0,0,0,0,0,0,0
infographic  vulnerability scan vs  penetration test  ,1,0,0.86628747,0,1,0,1,1,1,0,1,1
thinking of  and sending him some extra love on this particular day  thank you for sharing your struggles and vulnerability  it shows immense strength  you inspire and help so many people find their reason to live  x,1,0,0.033993058,1,1,1,1,1,1,1,1,1
 pq 153  ddos open threat signaling for coordinated response  ,0,0,0.36668888,0,0,0,0,0,0,0,0,0
the state of  ransomware in 2018      cybersecurity  malware  it,1,0,0.5433564,1,1,1,1,1,1,1,1,1
researchers find a botnet of high wattage devices could give attackers the ability to launch large scale coordinated attacks on the power grid  they are calling it  manipulation of demand via iot  attacks  or madiot  ,0,1,0.6891787,0,0,0,0,0,0,0,0,0
 susdsearch has been offline since you guys first got hit by that ddos attack  but i finally went and kicked it back online this last week   for being awesome       ,1,1,0.32717112,1,1,1,1,1,1,1,1,1
     army of bots   botnet and it usually consists of thousands of  bots     cybersecurity  ddos  drbot ,0,0,0.5696997,0,0,0,0,0,0,0,0,0
i   m trying this whole vulnerability thing   i hate it ,0,0,0.9843598,0,0,1,0,0,0,1,0,0
 vulnerability is at its  minimal whence with a  team   sriscope ,0,0,0.074428335,0,0,0,0,0,0,0,0,0
it   s poo  don   t do it,0,0,0.8799868,0,0,0,0,0,0,0,0,0
ransomware does not just impact big businesses  it can cause big problems for even the smallest companies  do not let it get to yours  read on for important protective measures   ,0,0,0.2089148,0,0,0,0,0,0,0,0,0
immunity debugger 1 85  denial of  service   packetstorm,0,1,0.8679462,0,0,0,0,0,0,0,0,0
fathom 2 4  denial of  service   packetstorm,0,1,0.87037075,0,0,0,0,0,0,0,0,0
absolutely  vulnerability breeds growth   addiction  mentalhealth  yyc,0,0,0.2508256,0,0,0,0,0,0,0,0,0
darkreading write  cryptocurrency scams replacing ransomware as attackers   fave   see full original article    all our feeds  ,0,0,0.07299756,0,0,0,1,0,0,0,0,0
 beats microsoft to patching windows 10 task scheduler 0 day vulnerability,0,1,0.35874894,0,0,0,1,0,0,0,0,0
 cryptocurrency scams replacing  ransomware as attackers  fave ,1,0,0.11482139,1,1,1,1,1,0,1,1,1
email phishing was the top ransomware vehicle in 2017  which is not surprising because over 67 percent of all ransomware attack vectors enter network systems via email   gt  gt  ransomware  6 it security best practices you need  ,1,0,0.5819266,1,1,1,1,1,1,1,1,1
distributed denial of service  ddos  protection market will register a cagr of  20  by 2023    ,0,0,0.77803844,0,0,0,0,0,0,0,0,0
immunity debugger 1 85 denial of service ,0,1,0.8526964,0,0,0,0,0,0,0,0,0
fathom 2 4 denial of service ,0,1,0.8556586,0,0,0,0,1,0,0,0,1
skype empresarial office 365 16 0 10730 20053 denial of service ,0,1,0.8341801,0,0,1,0,0,0,1,0,0
bank of  spain hit with  ddos attack  via   informedsecurity ,0,1,0.74341106,0,0,0,0,1,0,0,0,0
attacks and breaches cryptocurrency scams replacing ransomware as attackers  fave ,0,0,0.05827678,0,0,0,1,1,0,0,1,1
as you learn to accept strength and vulnerability,0,0,0.16448845,0,0,0,1,0,0,0,0,0
 i admire your bravery and vulnerability                  ,1,0,0.041941795,1,1,1,1,1,1,1,1,1
 cybercriminals are maximizing the impact of botnets by loading them with multiple malicious actions  see how the latest  botnet variants are adding exploits to their arsenal to better target unpatched  iot devices   ,0,0,0.35377014,0,0,0,0,0,0,0,0,0
this new ransomware campaign targets business and demands a massive bitcoin ransom   tech  technology  it  bigdata  security  cybersecurity  iot  innovation  cloud  infosec  infosecurity  hackers  hacking  quantum  ai  quantumcomputing,0,0,0.422765,0,0,0,0,0,0,0,0,0
there is a  retropi in this  dwelling that thinks he is better than me   ddos to his  ip sent  i am the  alphabot,0,1,0.42128438,0,0,0,1,0,0,1,0,0
protect  your customers  access prestashop anti ddos attack  prestashop  ,0,1,0.34471422,0,0,0,0,0,0,0,0,0
nasa openvsp 3 16 1 denial of service  packet storm security exploits  ,0,1,0.8220017,0,0,0,0,0,0,0,0,0
immunity debugger 1 85 denial of service  packet storm security exploits  ,0,1,0.86053526,0,0,1,1,1,1,0,0,1
ippulse 1 92 tcp port denial of service  packet storm security exploits  ,0,1,0.8768884,0,0,0,0,0,0,0,0,0
 cisco anyconnect secure mobility client 4 6 01099  denial of  service   packetstorm,1,1,0.85165477,1,1,1,1,1,1,1,1,0
i liked a  video  how to make a basic botnet   code overview,1,0,0.051570594,1,1,1,1,0,1,1,0,1
 im going to ddos u i stg,0,1,0.50229627,0,0,0,0,0,0,0,0,0
cryptocurrency scams replacing ransomware as attackers    fave ,1,0,0.11482139,1,1,1,1,1,1,1,1,1
it   s not just your it shop  ransomware  insider threats  and attacks on firmware and hardware are growing cyberthreats  hereis what you need to know  from  ,0,0,0.08741239,0,0,0,0,0,0,0,0,0
i do not open our ddos prot provider to the owner asking me cause if you suck your titties ma   am,1,1,0.71286744,1,1,1,1,1,1,1,1,1
 we get it  you   re trying to trap an android in an infinite loop so you can exploit her vulnerability for nefarious purposes  but it   s not going to work,0,1,0.8395963,0,0,0,0,0,0,0,0,0
 on console can you get a player banned off the leaderboards if they use mnk  cause i know a lot of players that use it and i know a lot of players that boot  ddos  dm so i can send you the list of names of the mnk and ddos,0,0,0.14977652,0,0,0,0,0,0,0,0,0
ddos attack knocks down spain central bank amp  39 s website   koddos blog ,1,1,0.43995002,1,1,1,1,1,1,1,1,1
 easy photoresq 1 0 denial of service    security,0,1,0.6742194,0,0,1,1,1,0,0,0,0
 trillian 6 1 build 16 denial of service    security,1,1,0.803827,1,1,1,1,1,1,1,1,1
 networkactiv web server 4 0 pre alpha 3 7 2 denial of service    security,1,1,0.8804268,1,1,0,1,0,0,0,0,1
 nord vpn 6 14 31 denial of service    security,0,1,0.8951705,0,0,0,0,0,0,0,0,0
nord vpn 6 14 31 denial of service  nord vpn version 6 14 31 suffers from a denial of service vulnerability  ,1,1,0.9201402,1,1,1,1,1,1,1,1,1
owncloud 0 1 2 user impersonation authorization bypass  owncloud version 0 1 2 suffers from a user impersonation authorization bypass vulnerability  ,1,1,0.68098205,1,1,1,1,1,1,1,1,1
network manager vpnc username privilege escalation  this metasploit module exploits an injection vulnerability in the network manager vpnc plugin to gain root privileges  this metasploit module uses a new line injection vulnerability in the configured    ,0,1,0.7015934,0,0,0,0,0,0,0,0,0
 slashdot justice department warns it might not be able to prosecute voting machine hackers  an anonymous reader quotes a report from motherboard  after more than a decade of headlines about the vulnerability of u s  voting machines to hacking  it turns o   ,0,1,0.6603681,0,0,0,0,0,0,1,0,0
justice department warns it might not be able to prosecute voting machine hackers    slashdot an anonymous reader quotes a report from motherboard  after more than a decade of headlines about the vulnerability of u s  voting machines to hacking  it turns    ,0,1,0.65782624,1,0,0,1,1,0,0,0,1
when is someone going to use a botnet to take down canarydegeneracy ,0,1,0.8438257,0,0,1,0,0,0,1,0,0
tcell finds  web application attack to breach ratio still high with cross site scripting  xss  and sql injection the most common  ,1,0,0.8245513,1,1,1,1,1,1,1,1,1
 please notify your it security team about a security vulnerability obb 671364 on your website ,0,1,0.4470014,0,0,0,0,0,0,0,0,0
easy photoresq 1 0 denial of service ,0,1,0.61512595,0,0,0,0,0,0,0,0,0
 please notify your it security team about a security vulnerability obb 671392 on your website ,1,1,0.4470014,1,1,0,1,1,0,0,0,1
 please notify your it security team about a security vulnerability obb 671386 on your website ,0,1,0.4470014,0,0,0,0,0,0,0,0,0
trillian 6 1 build 16 denial of service ,0,1,0.7389728,0,0,0,0,0,0,0,0,0
networkactiv web server 4 0 pre alpha 3 7 2 denial of service ,0,1,0.8548318,0,0,0,0,0,0,0,0,0
nord vpn 6 14 31 denial of service ,0,1,0.8639957,0,0,0,0,0,0,0,0,0
drive power manager 1 10 denial of service ,0,1,0.5858448,0,0,0,0,0,0,0,0,0
cisco anyconnect secure mobility client 4 6 01099 denial of service ,0,1,0.8284876,0,0,1,0,0,0,1,0,0
networkactiv web server 4 0 pre alpha 3 7 2 denial of service  networkactiv web server version 4 0 pre alpha 3 7 2    ,0,1,0.7132155,0,1,1,0,1,1,0,0,1
easy photoresq 1 0 denial of service ,0,1,0.61512595,0,0,1,1,1,1,0,0,1
nord vpn 6 14 31 denial of service  nord vpn version 6 14 31 suffers from a denial of service vulnerability  ,0,1,0.9201402,0,0,0,0,0,0,0,0,0
trillian 6 1 build 16 denial of service ,0,1,0.7389728,0,0,0,0,0,0,0,0,0
networkactiv web server 4 0 pre alpha 3 7 2 denial of service ,1,1,0.8548318,1,1,0,0,1,1,0,0,0
nord vpn 6 14 31 denial of service ,0,1,0.8639957,0,0,0,0,1,0,0,0,0
network manager vpnc username privilege escalation  this metasploit module exploits an injection vulnerability in    ,0,1,0.7319446,0,0,0,0,0,0,0,0,0
showing vulnerability literally the death of all aries,0,0,0.7483019,0,0,0,0,0,0,0,0,0
who know how make good combo with sqli dumper   dm please   ,1,0,0.11974663,1,1,1,1,1,1,1,0,1
newbie hacker fingered for monster botnet ,0,1,0.21001884,0,1,1,0,0,1,1,0,0
nearly 15 million texas voters reportedly exposed by data leak ,0,1,0.84552276,0,0,0,0,0,0,0,1,0
update  nord vpn 6 14 31 denial of service ,0,1,0.8503992,0,0,0,0,0,0,0,0,0
update  networkactiv web server 4 0 pre alpha 3 7 2 denial of service ,0,1,0.86551386,0,0,0,0,0,0,0,0,0
update  trillian 6 1 build 16 denial of service ,0,1,0.7549438,0,0,0,0,0,0,0,0,0
update  easy photoresq 1 0 denial of service ,0,1,0.53944933,0,0,0,0,0,0,0,0,0
cisco anyconnect secure mobility client 4 6 01099 denial of service ,0,1,0.8284876,0,0,0,0,0,0,0,0,0
update  skype empresarial office 365 16 0 10730 20053 denial of service ,0,1,0.85021085,0,0,0,0,0,0,0,0,0
update  fathom 2 4 denial of service ,1,1,0.8350157,1,1,1,1,0,0,1,1,0
update  ippulse 1 92 tcp port denial of service ,0,1,0.87355834,0,0,0,0,0,0,0,0,0
update  immunity debugger 1 85 denial of service ,0,1,0.81706655,0,0,0,0,0,0,0,0,0
update  nasa openvsp 3 16 1 denial of service ,0,1,0.81270784,0,0,0,0,0,0,0,0,0
update  cisco anyconnect secure mobility client 4 6 01099 denial of service ,1,1,0.8684145,0,1,1,0,1,1,1,1,1
update  drive power manager 1 10 denial of service ,1,1,0.5609182,1,1,1,1,1,1,1,1,1
update  hd tune pro 5 70 denial of service ,0,0,0.7034673,0,0,0,0,0,0,0,0,0
 by demolishing the arrangements that provide british firms with seamless access to the world   s largest services market  and by closing itself off to immigration  the uk has embarked on a path of greater economic vulnerability  and lower skill  lower wage jobs ,0,0,0.4929771,0,0,0,0,0,0,0,0,0
i think that play fort hit with another client of our ddos prot provider tangodown offline apophissquad tangodown offline easy to the rest,1,0,0.4106117,1,1,0,1,1,1,1,1,1
microsoft obliquely acknowledges windows 0 day bug published on twitter   cybercrime  cyberattacks  hacker  hack  breach  phishing  dos  ransomware  malware   virus  apt  pii  nist  fcc  finra  hipaa  pci ,0,1,0.65308297,0,0,0,0,0,0,0,0,0
us presses charges against washington man allegedly linked to satori iot botnet   sc magazine  iot ,0,1,0.27312526,0,0,0,0,0,0,0,0,0
aarrgghh   android phones still vulnerable to old phone line  amp  modem at commands   via ,1,1,0.87336826,1,1,1,1,1,1,1,1,1
vulnerability is not a sign of weakness ,0,0,0.5448337,0,0,0,0,0,0,0,0,0
new post  immunity debugger 1 85 denial of service  has been published on     ,0,1,0.68627805,0,0,0,0,0,0,0,0,0
new post  ippulse 1 92 tcp port denial of service  has been published on     ,0,1,0.6936032,0,0,0,0,0,0,0,0,0
new post  skype empresarial office 365 16 0 10730 20053 denial of service  has been published on     ,0,1,0.69375294,0,0,0,0,0,0,0,0,0
 sjcny   what is ransomware  how it works and what you can do to stay protected    do not know then watch this     ,0,0,0.42345014,0,0,0,0,0,0,0,0,0
epic wanted  google not to report fortnite  android vulnerability immediately   gadget  smartphone  iphone  android  technology  cellphone  tech  google  releasedate  review  ,0,1,0.86994785,0,0,0,0,0,0,0,0,0
first time encountered a ransomware attack  luckily on non important machines  how it came about  we had many cloud machines used for a contest and we would assign them to outside people to use  so remote desktop was open to public ,1,1,0.74697304,1,1,1,1,1,1,1,1,1
both machines  passwords got brute forced and taken control by 2 unrelated parties  ransomware and botnet tools were downloaded  welp now i know people are literally scanning for these ips and it take long for them to be found  we had no impt files in those machines ,0,1,0.8742072,0,0,0,0,0,0,0,0,0
this is geat  2 factor authentication works  but text styleis showed some vulnerability  googleis 2fa app is my favorite  but i d like to try this  bit if the old school comes back en vouge  ,0,1,0.4046453,0,0,0,0,0,0,0,0,0
nord vpn 6 14 31 denial of service ,1,1,0.8639957,1,1,1,1,1,1,1,1,1
 fuck ddos i need my eth back cause i sent to your scamming website,1,1,0.7572122,1,1,1,1,1,1,1,1,1
furthest thing from the truth  time for me to log off for a while,0,0,0.30167308,0,0,0,1,0,0,0,0,0
hashes for his poc for an ios 12 kernel 0day and infoleak for  jailbreak exploit    ,0,1,0.12228748,0,0,0,0,0,0,0,0,0
why are hackers nowaday such douchebags   these guys have the power to expose criminals and actually do something good  but instead they use their skills to ddos random servers for attention and bully people online and doxing them or even worse swatting them ,1,0,0.91840637,1,0,0,0,1,1,1,0,1
i cant tell if im getting ddos d or my internet is fuckin up someone help im pist,1,1,0.92737174,1,1,1,1,1,1,1,1,1
yo zoho stop ddos protection provider that ur attention pls remember to us well we got a non disclosure,0,0,0.33046585,0,0,0,1,0,0,0,0,0
how is it possible for skids to ddos from who i suspect have no programming basic hacking knowledge at all  ,0,0,0.59389913,0,0,0,0,0,0,0,0,0
nord vpn 6 14 31 denial of service ,0,1,0.8639957,0,0,0,0,0,0,0,0,0
networkactiv web server 4 0 pre alpha 3 7 2 denial of service ,0,1,0.8548318,0,0,0,0,0,0,0,0,0
new post  trillian 6 1 build 16 denial of service  has been published on     ,0,1,0.5952655,0,0,0,0,0,0,0,0,0
no exceptions sorry had no need to piss of that i get access to stop ddos first     ,0,0,0.7298297,0,0,0,0,1,0,0,0,0
new post  networkactiv web server 4 0 pre alpha 3 7 2 denial of service  has been published on     ,0,1,0.7403501,0,0,0,0,0,0,0,0,0
critical  cybersecurity vulnerability found in bd alaris plus pump ,0,1,0.55374414,0,0,0,0,0,0,0,0,0
critical  cybersecurity vulnerability found in bd alaris plus pump ,0,1,0.55374414,1,1,1,0,1,1,1,1,1
critical  cybersecurity vulnerability found in bd alaris plus pump ,1,1,0.55374414,1,1,1,1,1,1,1,1,1
critical  cybersecurity vulnerability found in bd alaris plus pump ,1,1,0.55374414,1,1,1,1,1,1,1,1,1
critical  cybersecurity vulnerability found in bd alaris plus pump ,0,1,0.55374414,0,0,0,0,0,0,0,0,0
new post  nord vpn 6 14 31 denial of service  has been published on     ,0,1,0.7086884,1,1,1,0,1,0,1,1,1
critical  cybersecurity vulnerability found in bd alaris plus pump ,0,1,0.55374414,0,0,0,0,0,0,0,0,0
critical  cybersecurity vulnerability found in bd alaris plus pump ,1,1,0.55374414,1,1,1,1,1,1,1,1,1
 android  apibreaking  vulnerability leaks device data  allows user tracking   zdnet   mobilesec ,1,1,0.42960754,1,0,0,1,0,0,0,1,0
ransomware  not dead  just getting a lot sneakier   cybersecurity  security  safety,1,0,0.10068848,1,1,1,1,1,0,1,1,1
hacking the hacker  stopping a big botnet targeting usa  canada and italy       opines on  cybersecurity,0,0,0.3994699,0,0,0,0,0,0,0,0,0
misfortune cookie vulnerability returns to impact medical devices    googlealerts,0,1,0.3432709,0,0,0,0,1,0,0,0,1
so many missteps  after  ransomware paid to decrypt  somehow gave files with sensitive data to attackers  obvious  databreach  but more questions    hipaa ,0,1,0.53062123,0,0,0,0,0,0,1,0,0
vulnerability in the gift vouchers plugin through 2 0 1 for  wordpress allows  sql injection    cybersecurity,0,1,0.4172101,0,0,0,0,0,0,0,0,0
with  cybercrime costing over  500b the business model designed by  cyber  criminals is overtly productive     anticrime methodology to  cybersecurity delivers results ranging from  ransomware to system  hijacking and more  ,0,0,0.17857584,0,0,0,0,0,0,0,0,0
cracking ransomware  ransomwarrior victims can now retrieve files for free  via   amp  ,0,1,0.02700902,0,0,0,0,0,0,0,0,0
 cybersecurite   cracking ransomware  ransomwarrior victims can now retrieve files for free ,1,1,0.038993604,1,1,1,1,1,1,1,1,1
the  podcast featured our own  this week to talk about vulnerability management  wafs  and advice to enterprise marketing  check out the recording here  ,0,0,0.016284892,0,0,0,0,0,0,0,0,0
gullible or ignorant  doesn   t matter when phishing is rife with ransomware  learn more from our partner   here at ,0,0,0.14603114,0,0,0,0,0,0,0,0,0
free ddos prot provider to send them u read this you guys want to each other clients on for you had no milk was going to down boii,0,0,0.5088207,0,0,0,0,0,0,0,0,0
thanks  for your latest video next year  you highlighted the importance of relationships  living every day like it counts  and finding what matters  this guy knows how to do  vulnerability  check it out   talentedsongwriter  mindfulness ,0,0,0.05381755,0,0,0,0,0,0,0,0,0
 sql injection ,0,1,0.8608079,0,0,0,0,0,0,0,0,0
top story  microsoft patch awaited for zero day vulnerability  see more ,0,1,0.09922182,0,0,0,0,0,0,0,0,0
cracking ransomware  ransomwarrior victims can now retrieve files for free  victims of a new form of ransomware that appeared just weeks ago can now retrieve their encrypted files without having to pay a bitcoin ransom   c zdnet ,0,1,0.31424534,0,0,0,0,0,0,0,0,0
critical vulnerability patched in php package repository ,0,1,0.60454035,0,0,0,0,0,0,0,0,0
